,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,level_0,index,song,artist,track_id
0,0.716,0.238,0,-19.214,1,0.0357,0.952,0.874,0.099,0.0867,93.03,audio_features,4i5Q2kAQXW8yN3I8oF0S6y,spotify:track:4i5Q2kAQXW8yN3I8oF0S6y,https://api.spotify.com/v1/tracks/4i5Q2kAQXW8yN3I8oF0S6y,https://api.spotify.com/v1/audio-analysis/4i5Q2kAQXW8yN3I8oF0S6y,192419,4,0,0,All Too Well (Acoustic Instrumental),Edward Ong,4i5Q2kAQXW8yN3I8oF0S6y
1,0.723,0.289,1,-18.972,1,0.0454,0.871,0.766,0.0939,0.473,93.01,audio_features,7GUCn1kZEPWsec3ql7gYmf,spotify:track:7GUCn1kZEPWsec3ql7gYmf,https://api.spotify.com/v1/tracks/7GUCn1kZEPWsec3ql7gYmf,https://api.spotify.com/v1/audio-analysis/7GUCn1kZEPWsec3ql7gYmf,141716,4,1,1,Love Nwantiti (Acoustic Instrumental),Edward Ong,7GUCn1kZEPWsec3ql7gYmf
2,0.785,0.356,1,-15.437,1,0.0359,0.891,0.919,0.108,0.205,115.869,audio_features,3bmBkt3iLFJWptwYmdZUYd,spotify:track:3bmBkt3iLFJWptwYmdZUYd,https://api.spotify.com/v1/tracks/3bmBkt3iLFJWptwYmdZUYd,https://api.spotify.com/v1/audio-analysis/3bmBkt3iLFJWptwYmdZUYd,153362,4,2,2,Cold Heart - Acoustic Instrumental,Edward Ong,3bmBkt3iLFJWptwYmdZUYd
3,0.602,0.256,5,-14.836,1,0.0405,0.881,0.809,0.0931,0.206,141.887,audio_features,0ykGfuv3McDRCa4KwoONvd,spotify:track:0ykGfuv3McDRCa4KwoONvd,https://api.spotify.com/v1/tracks/0ykGfuv3McDRCa4KwoONvd,https://api.spotify.com/v1/audio-analysis/0ykGfuv3McDRCa4KwoONvd,222169,4,3,3,Easy On Me - Acoustic Instrumental,Edward Ong,0ykGfuv3McDRCa4KwoONvd
4,0.585,0.29,10,-16.978,0,0.0557,0.972,0.887,0.127,0.397,169.894,audio_features,2jxC87YsC8jzlR3F5dBrgD,spotify:track:2jxC87YsC8jzlR3F5dBrgD,https://api.spotify.com/v1/tracks/2jxC87YsC8jzlR3F5dBrgD,https://api.spotify.com/v1/audio-analysis/2jxC87YsC8jzlR3F5dBrgD,141166,4,4,4,Stay - Instrumental,Ray Mak,2jxC87YsC8jzlR3F5dBrgD
5,0.713,0.458,11,-10.63,0,0.0412,0.913,0.931,0.106,0.77,140.991,audio_features,1DrIR5iAXJaBm7UWBRiiQx,spotify:track:1DrIR5iAXJaBm7UWBRiiQx,https://api.spotify.com/v1/tracks/1DrIR5iAXJaBm7UWBRiiQx,https://api.spotify.com/v1/audio-analysis/1DrIR5iAXJaBm7UWBRiiQx,206383,4,5,5,Shivers - Acoustic Instrumental,Edward Ong,1DrIR5iAXJaBm7UWBRiiQx
6,0.64,0.591,6,-17.663,1,0.0367,0.754,0.915,0.12,0.251,115.99,audio_features,412yfYmqbuGJaAhpEPr3gb,spotify:track:412yfYmqbuGJaAhpEPr3gb,https://api.spotify.com/v1/tracks/412yfYmqbuGJaAhpEPr3gb,https://api.spotify.com/v1/audio-analysis/412yfYmqbuGJaAhpEPr3gb,201581,4,6,6,Cold Heart - Piano Version,Daniele Leoni,412yfYmqbuGJaAhpEPr3gb
7,0.655,0.0883,0,-19.0,0,0.0488,0.971,0.897,0.109,0.373,119.985,audio_features,7lr1Qj5i2emYCPqUiIyFcz,spotify:track:7lr1Qj5i2emYCPqUiIyFcz,https://api.spotify.com/v1/tracks/7lr1Qj5i2emYCPqUiIyFcz,https://api.spotify.com/v1/audio-analysis/7lr1Qj5i2emYCPqUiIyFcz,181820,4,7,7,Moth To A Flame - Acoustic Instrumental,Guus Dielissen,7lr1Qj5i2emYCPqUiIyFcz
8,0.632,0.233,4,-14.104,1,0.035,0.899,0.888,0.0947,0.418,104.987,audio_features,0lphV5Pq09f2QhadJMG9iM,spotify:track:0lphV5Pq09f2QhadJMG9iM,https://api.spotify.com/v1/tracks/0lphV5Pq09f2QhadJMG9iM,https://api.spotify.com/v1/audio-analysis/0lphV5Pq09f2QhadJMG9iM,150976,4,8,8,My Universe - Acoustic Instrumental,Edward Ong,0lphV5Pq09f2QhadJMG9iM
9,0.607,0.201,8,-14.088,1,0.0788,0.894,0.447,0.128,0.137,74.928,audio_features,1ZubmvBkrzA4qifxIsTJhs,spotify:track:1ZubmvBkrzA4qifxIsTJhs,https://api.spotify.com/v1/tracks/1ZubmvBkrzA4qifxIsTJhs,https://api.spotify.com/v1/audio-analysis/1ZubmvBkrzA4qifxIsTJhs,161300,4,9,9,Visiting Hours - Acoustic Instrumental,Edward Ong,1ZubmvBkrzA4qifxIsTJhs
